ID;SGU_ID;overlap_count;filled_count;correlation;mae;rmse;r2
obj_06;179_2;36;1187;0.7592908253684955;0.9960498868723033;1.410155352324728;0.5055140608888444
obj_07;52_2;200;1810;0.895331926572914;0.2645170566753416;0.35283941066747365;0.7905408128471673
obj_2U;179_2;76;1147;0.8876454133874266;0.06897365696899486;0.10174690670500287;0.7697037815353123
obj_30;52_2;225;1785;0.6942678066492781;0.12242503069479695;0.16729309276017945;0.4352265182151759
obj_3O;52_13;41;1140;0.8110057724758989;0.03775771585397289;0.052223565256158504;0.6084222248790565
obj_5B;52_14;54;1130;0.848259760013095;0.3465177052331331;0.4398576052612385;0.665709716845049
obj_5U;52_13;231;950;0.7690874907411775;0.11150933057031065;0.16804919810044017;0.5599565380994331
obj_8O;52_13;34;1147;0.7816308481240544;0.09329942806170312;0.11859324603504479;0.5741875539914507
obj_9O;52_9;44;1132;0.7612799116745224;0.08612434221147308;0.11974910903499275;0.4840822309646037
