,initial,pmin,pmax,vary,name,dist,stderr,optimal
rch_A,3.613048473719373,1e-05,46.95178149471942,True,rch,uniform,3.0551949752850844,2.952468410229578
rch_n,1.1055484160697249,0.01,100.0,True,rch,uniform,0.06903761591220434,1.1589711525573663
rch_a,953.8443576909992,0.01,10000.0,True,rch,uniform,750.626074854893,708.984644133482
rch_srmax,179.31223200343027,1e-05,1000.0,False,rch,uniform,,179.31223200343027
rch_lp,0.25,1e-05,1.0,False,rch,uniform,,0.25
rch_ks,50.897747015564114,1e-05,10000.0,True,rch,uniform,45.27294007238302,39.40045034678994
rch_gamma,8.049664521479583,1e-05,20.0,True,rch,uniform,1.0420878218010818,4.978095878261996
rch_kv,1.93557457403395,0.25,2.0,True,rch,uniform,0.3278470479875278,1.9963540152045796
rch_simax,2.0,0.0,10.0,False,rch,uniform,,2.0
rch_gf,0.2807252095312912,0.0,1.0,True,rch,uniform,0.06237900424545711,0.26210507722891974
rch_tt,-0.9999997892153795,-10.0,10.0,True,rch,uniform,2.7240577401272574,-0.9000021925246361
rch_k,1.381698878999636,1.0,20.0,True,rch,uniform,1.67067265469656,1.670716635793877
constant_d,0.0,,,False,constant,uniform,,64.09182460868801
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,13.019308396113566,32.14812657930095
